"KEY","VALUE"
"Dřevo Sanwei Multilayer C","dřevo stolní tenis, rychlé dynamické "
"Dřevo Sanwei Multilayer W","Dřevo Sanwei, Vícevrstvý"
"Dřevo Sanwei Multilayer Z","Dřevo Sanwei Multilayer Z, rychlé útočné dřevo"
"Dřevo Sanwei Paramid","Dřevo Paramid, paramidové karbonové vlákno"
"Dřevo Sanwei Shrafton","Sanwei Shrafton, carbonové dřevo"
"Dřevo Sauer&Troeger Firestarter","dřevo na stolní tenis, kontrola a rotace"
"Dřevo Sauer&Troeger Kasalla","pálka s trávou, útočné dřevo"
"Dřevo Sauer&Troeger Zeus","dřevo defenzivního hráče, karbonové vrstvy"
"Dřevo Yasaka Battle Balsa","Dřevěný stůl, balsa"
"Dřevo Yasaka Sweden Classic","Dřevo, Klasický Yasaka"
"Dřevo Yasaka Sweden Extra","dřevo, Švédsko"
"Dřevo ANDRO Gauzy BL7 OFF","Dřevo, pálka"
"Dřevo ANDRO Gauzy HL CO OFF","útočné prkno, KVL karbon"
"Dřevo ANDRO Gauzy SL OFF","útočné prkno, sedm dřevěných dýh"
"Dřevo ANDRO Inizio ALL","prkno všestranný stolní tenis, Dřevo ALL+"
"Dřevo ANDRO Inizio OFF","Dřevo OFF, útočné prkno"
"Dřevo ANDRO Kanter CO OFF","Dřevo ANDRO, útočné prkno"
"Dřevo ANDRO Kanter FO ALL/S","prkno ALL/S, balsa střed"
"Dřevo ANDRO Kanter FO OFF","prkno, umělé vlákno"
"Dřevo ANDRO Novacell ALL/S","dřevo, allroundové"
"Dřevo ANDRO Novacell OFF","Dřevo na stolní tenis, technologie CELL"
"Dřevo ANDRO Novacell OFF/S","Dřevo, rychlost"
"Dřevo ANDRO Performance OFF","Dřevo ANDRO Performance, rychlé prkno"
"Dřevo ANDRO Synteliac VCI","dřevo, prkno"
"Dřevo ANDRO Synteliac VCO","prkno, útočná hra"
"Dřevo ANDRO Synteliac ZCI","Dřevo ANDRO, syntetické vlákno"
"Dřevo ANDRO Synteliac ZCO","Dřevo, Zereema"
"Dřevo ANDRO Timber 5 ALL","Dřevo Kontrola, Stolní Tenis"
"Dřevo ANDRO Timber 5 ALL BLACK","prkno, kontrola"
"Dřevo ANDRO Timber 5 ALL/S","dřevo, stolní tenis"
"Dřevo ANDRO Timber 5 DEF","dřevo obrana, kontrola pálky"
"Dřevo ANDRO Timber 5 OFF","dřevo, pingpong"
"Dřevo ANDRO Timber 7 OFF","útočné prkno, topspinová hra"
"Dřevo ANDRO Timber 7 OFF/S","Dřevo andro, prkno Timber 7."
"Dřevo ANDRO TP Ligna ALL","prkno, dýhy"
"Dřevo ANDRO TP Ligna CI OFF","Dřevo ANDRO, útočné prkno"
"Dřevo ANDRO TP Ligna CO OFF","útočné prkno, karbonové vrstvy"
"Dřevo ANDRO Treiber CI OFF","dřevo, karbon"
"Dřevo ANDRO Treiber CO ALL/S","prkno, stolní tenis"
"Dřevo ANDRO Treiber CO OFF/S","Dřevo, útočná hra"
"Dřevo ANDRO Treiber FI OFF","Dřevo ANDRO Treiber FI, útočné prkno"
"Dřevo ANDRO Treiber FO OFF/S","Dřevo, topspin"
"Dřevo BUTTERFLY A. Grubba New","Dřevo, univerzální prkno"
"Dřevo BUTTERFLY Amultart ZLC","Dřevo ZLC, rychlé prkno"
"Dřevo BUTTERFLY Apolonia ZLC","prkno, kontrola"
"Dřevo BUTTERFLY Boll Forte III","dynamické, útočné"
"Dřevo BUTTERFLY Boll Fortissimo","prkno na stolní tenis, útočné prkno"
"Dřevo BUTTERFLY Boll Mezzoforte","prkno, všestranní hráči"
"Dřevo BUTTERFLY Diode V","prkno, obranná hra"
"Dřevo BUTTERFLY Fan Zhendong ALC","Dřevo Butterfly, Stolní tenis"
"Dřevo BUTTERFLY Fan Zhendong CNF","Dřevo, Butterfly"
"Dřevo BUTTERFLY Fan Zhendong Super ALC","Dřevo Butterfly, Fan Zhendong Super ALC"
"Dřevo BUTTERFLY Franziska Innerforce ZLC","prkna slavných hráčů, zadržet míček na pálce"
"Dřevo BUTTERFLY Hadraw VR","Dřevo Butterfly, útočné prkno"
"Dřevo BUTTERFLY Harimoto Innerforce Super ZLC","Dřevo BUTTERFLY, Tomokazu Harimoto"
"Dřevo BUTTERFLY Harimoto Innerforce ZLC","dřevo Harimoto, Innerforce ZLC"
"Dřevo BUTTERFLY Innerforce Layer ALC","Arylate karbon, útok topspin"
"Dřevo BUTTERFLY Innerforce Layer ALC.S","prkno, Arylate karbon"
"Dřevo BUTTERFLY Innerforce Layer ZLC","Dřevo, kontrola"
"Dřevo BUTTERFLY Innerforce Layer ZLF","prkno, stabilita"
"Dřevo BUTTERFLY Jun Mizutani ZLC","Útočné prkno, dynamické"
"Dřevo BUTTERFLY Korbel (Japan)","prkno, dynamika"
"Dřevo BUTTERFLY Korbel SK7","útočný typ, topspinové údery"
"Dřevo BUTTERFLY Lin Gaoyuan ALC","prkno, topspin"
"Dřevo BUTTERFLY Lin Yun-Ju Super ZLC","dřevo, kontrola"
"Dřevo BUTTERFLY Ovtcharov Innerforce ALC","dynamika, karbon"
"Dřevo BUTTERFLY Ovtcharov S1","dřevěné dýhy, topspinová hra"
"Dřevo BUTTERFLY Ovtcharov S2","prkno, topspinová hra"
"Dřevo BUTTERFLY Petr Korbel","útočná hra, topspinová hra"
"Dřevo BUTTERFLY Primorac Carbon","karbonové prkno, útoční hráči"
"Dřevo BUTTERFLY Revoldia CNF","motyla raketa, nanovlákna celulózy"
"Dřevo BUTTERFLY SK Carbon","odlehčené, kontrola"
"Dřevo BUTTERFLY Timo Boll 30th Anniversary","prkno, rotace"
"Dřevo BUTTERFLY Timo Boll ALC","stolní tenis, karbonové dřevo"
"Dřevo BUTTERFLY Timo Boll CAF","Timo Boll CAF, karbon"
"Dřevo BUTTERFLY Timo Boll J","prkno, začátečníky"
"Dřevo BUTTERFLY Timo Boll TJ","dřevo pro mládež, lehké karbonové prkno"
"Dřevo BUTTERFLY Timo Boll ZLC","dřevo, Zylon karbon"
"Dřevo BUTTERFLY Timo Boll ZLF","Hi-tec, lehké"
"Dřevo BUTTERFLY Viscaria","motýlek, útočná hra"
"Dřevo BUTTERFLY Viscaria Super ALC","Dřevo, pingpongové prkno"
"Dřevo BUTTERFLY Z. Primorac (Japan)","dřevo, ofenzivní hra"
"Dřevo BUTTERFLY Zhang Jike ALC","motýlek, útočný prkno"
"Dřevo BUTTERFLY Zhang Jike ZLC","rychlost, kontrola"
"Dřevo BUTTERFLY Zoran Primorac","pálka, ofenzivní hra"
"Dřevo DONIC Appelgren ALL+ World Champion 89","Dřevo, Stiga"
"Dřevo DONIC Appelgren Allplay","dřevo, kontrola"
"Dřevo DONIC Appelgren Allplay Senso V1","univerzální dřevo, kontrola prkna"
"Dřevo DONIC Appelgren Allplay Senso V2","dřevo, kontrola"
"Dřevo DONIC Appelgren Exclusive AR","univerzální, začátečníky"
"Dřevo DONIC Balsa Carbo Certran","dřevěná pálka, karbonové vložky"
"Dřevo DONIC Balsa Carbo Fleece","dřevo, útočník"
"Dřevo DONIC Burn ALL+","dřevěné prkno, akční vlastnosti"
"Dřevo DONIC Burn OFF","dřevěné prkno, mahagon"
"Dřevo DONIC Burn OFF-","Dřevo tropických dřev, topspinové hráče"
"Dřevo DONIC Cayman","lehký, všestranná hra"
"Dřevo DONIC Classic Allround","dřevo, kontrola "
"Dřevo DONIC Classic Offensive","offenzivní dřevo, topspinová hra"
"Dřevo DONIC Classic Power Allround","středně rychlé, útočné dřevo"
"Dřevo DONIC Crest OFF","prkno, útočníci"
"Dřevo DONIC Epox OFF","rychlé prkno, topspinová hra"
"Dřevo DONIC Epox Power AR","kontrola míčku, variabilní hra"
"Dřevo DONIC Epox Topspeed","Dřevo, útočné hráče"
"Dřevo DONIC Esprit","Dřevo, kontrola"
"Dřevo DONIC Impuls Dotec ALL+","Dřevo, Kontrola"
"Dřevo DONIC J.O. Waldner Gold Edition","sedmivrstvé útočné prkno, karbonové vrstvy"
"Dřevo DONIC New Impuls 6.5","Impuls technologie, měkký pocit"
"Dřevo DONIC New Impuls 7.5","prkno, kontrola"
"Dřevo DONIC Original Carbospeed","rychlost, útočníky"
"Dřevo DONIC Original Dotec ALL","dřevo, kontrola"
"Dřevo DONIC Original Dotec ALL+","Dřevo, komfortní držení"
"Dřevo DONIC Original Dotec OFF","Dřevo, Komfortní držení"
"Dřevo DONIC Original Exclusive Carbon","Dřevo, Karbon"
"Dřevo DONIC Original No. 1","prkno, akryl karbon"
"Dřevo DONIC Original No. 1 Senso","Dřevo DONIC, akryl karbon"
"Dřevo DONIC Original Senso Carbon","Dřevo, Karbonové prkno"
"Dřevo DONIC Original Senso V2","prkno, útočné"
"Dřevo DONIC Original True Carbon","stůl tenis, karbonové vlákno"
"Dřevo DONIC Ovtcharov No. 1","Dynamika, Zrychlení"
"Dřevo DONIC Persson OFF+ World Champion 89","Dřevo, prkno"
"Dřevo DONIC Persson Power AR Senso V2","dřevo, univerzální"
"Dřevo DONIC Persson Power Carbon Senso V1","rychlé prkno, útočná zbraň"
"Dřevo DONIC Persson Seven","dřevo přírodní, topspinová hra"
"Dřevo DONIC Persson Youngstar","Dřevo, Děti"
"Dřevo DONIC Skachkov Carbon","Skachkov, útočná hra"
"Dřevo DONIC Waldner Allplay","dřevo, univerzálnost"
"Dřevo DONIC Waldner Dicon","Dřevo DONIC, kontrola úderů"
"Dřevo DONIC Waldner Exclusive AR+","Dřevo, pokročilejší hráči"
"Dřevo DONIC Waldner OFF World Champion 89","Dřevo, Carbonfleece"
"Dřevo DONIC Waldner Offensive 2016","Dřevo, Waldner"
"Dřevo DONIC Waldner Senso Carbon","Dřevo, kontrola"
"Dřevo DONIC Waldner Senso Ultra Carbon","Dřevo DONIC, Ultra Carbon"
"Dřevo DONIC Waldner Senso V1","Dřevo DONIC, Senso V1"
"Dřevo DONIC Waldner Senso V2","rychlost, kontrola"
"Dřevo DONIC Xtreme","uhlíková vlákna, jedinečná kontrola"
"Dřevo Dr. NEUBAUER Barricade DEF","Dřevo, obrana"
"Dřevo Dr. NEUBAUER Bloodhound","pomalé prkno, moderní obrana"
"Dřevo Dr. NEUBAUER Bloodhound ALL+","rychlá všestranná hra, kombinace vroubky antispin"
"Dřevo Dr. NEUBAUER Bulldog","lehká pálka, rychlé prkno"
"Dřevo DR. NEUBAUER Colossus","Dřevo DR. NEUBAUER Colossus, asymetrické prkno"
"Dřevo Dr. NEUBAUER Combination Effect","kombinovaná pálka, antispinové potahy"
"Dřevo Dr. NEUBAUER Firewall Plus","prkno, antispin"
"Dřevo Dr. NEUBAUER Gladiator","Dřevo na stolní tenis, Dr. Neubauer Gladiator"
"Dřevo Dr. NEUBAUER Grand Master","Dřevo, kontrola"
"Dřevo DR. NEUBAUER Grand Master+","kontrolovatelnost, rušivý efekt"
"Dřevo Dr. NEUBAUER Hercules","allroundové prkno, kontrola"
"Dřevo Dr. NEUBAUER High Tech Cypress Carbon","Dřevo, karbon"
"Dřevo Dr. NEUBAUER High Technology Plus","rychlé útočné prkno, skvělá kontrola"
"Dřevo Dr. NEUBAUER Kung Fu","allroundové prkno, antispinový potah"
"Dřevo Dr. NEUBAUER Magical Touch","rychlost, cit"
"Dřevo Dr. NEUBAUER Matador","útočné prkno, kontrola"
"Dřevo Dr. NEUBAUER Matador Texa","pomalejší prkno, moderní útočná hra"
"Dřevo Dr. NEUBAUER Matador Texa Balsa","útočné prkno, topspinová hra"
"Dřevo Dr. NEUBAUER Phenomenon","Allroundové prkno, moderní obraná hra"
"Dřevo Dr. NEUBAUER Special","dřevěné prkno, herní vlastnosti"
"Dřevo Dr. NEUBAUER Titan","rušivý efekt, útočné možnosti"
"Dřevo Dr. NEUBAUER World Champion","útočné prkno, topspinová hra"
"Dřevo Dr. NEUBAUER World Champion Carbon","prkno, karbon"
"Dřevo GEWO Allround Classic","kontrola, všestrannost"
"Dřevo GEWO Aruna Energy ARC OFF","rychlost, kontrola"
"Dřevo GEWO Aruna Hinoki Carbon OFF","všestranné, kreativní"
"Dřevo GEWO Aruna OFF","dřevo, topspin"
"Dřevo GEWO Balsa Carbon 575","balzové dřevo, karbonová pálka"
"Dřevo GEWO Balsa Carbon 775","GEWO, Balsa Carbon"
"Dřevo GEWO Ex-Force PBO-PC OFF","stolní tenis, ofenzivní dřevo"
"Dřevo GEWO Force ARC OFF","dřevo, aramid-karbon"
"Dřevo GEWO Hybrid Carbon A/Speed All+","ultralehké dřevo, kontrola"
"Dřevo GEWO Hybrid Carbon M/Speed Off-","střední rychlost, kontrola míče"
"Dřevo GEWO Hybrid Carbon X/Speed","Dřevo, Hybrid Carbon"
"Dřevo GEWO In-Force PBO-PC OFF","úspěch, moderní"
"Dřevo GEWO In-force S-HAC OFF","Dřevo pingpongová pálka, Aramid karbonová vlákna"
"Dřevo GEWO Power Control","síla, kontrola"
"Dřevo GEWO Sensus Carbo Touch","rychlost, kontrola"
"Dřevo GEWO Talent ALL","Dětské pálky, Tenisové vybavení"
"Dřevo GEWO Talent OFF-","dřevo GEWO, pro mladé talenty"
"Dřevo GEWO Velox alpha Def","rovnováha, preciznost"
"Dřevo GEWO Youngster","přesnost, kontrola"
"Dřevo GEWO Zoom Balance All+","stolní tenis, univerzální hráči"
"Dřevo GEWO Zoom Pro Light Off-","dřevo, topspin"
"Dřevo GEWO Zoom Pro OFF-","rychlost, kontrola"
"Dřevo HALLMARK Aurora","stolní tenis, defenzivní hra"
"Dřevo HALLMARK Combination","rozdílné rychlosti, obrácení rotace"
"Dřevo HALLMARK Enigma","útočná hra, dlouhé vroubky"
"Dřevo HALLMARK Strategy","dřevo, blokování"
"Dřevo HALLMARK Ultra","dřevo, útočné vlastnosti"
"Dřevo JOOLA CHALLENGER CARBON","Dřevo JOOLA CHALLENGER CARBON, karbonové vrstvy"
"Dřevo JOOLA CHALLENGER OFF","útočné dřevo, spinově orientovaná hra"
"Dřevo Joola Chen Weixing DEF+","obranné dřevo, rotovaný topspin"
"Dřevo Joola J Carbon","karbonové prkno, útočná hra"
"Dřevo Joola Jumbo AUTOGRAPH","dřevo, podpisy"
"Dřevo Joola PROline AW5","vyvážené dřevo, kontrola míče"
"Dřevo Joola PROline AW7","dřevo, útočné údery"
"Dřevo Joola PROline IAC","rychlost, kontrola"
"Dřevo Joola PROline OAC","útočné dřevo, vysoká kontrola"
"Dřevo Joola Rossi junior","děti, lehké"
"Dřevo Joola Rosskopf Emotion","útočné hráče, karbonové dřevo"
"Dřevo JOOLA TEZZO GUARDIAN","Dřevo, citlivost"
"Dřevo JOOLA TEZZO PALADIN","dřevo JOOLA, 7 vrstev"
"Dřevo JOOLA TEZZO WARRIOR","výkonné dřevo, útočný styl"
"Dřevo JOOLA VYZARYZ FREEZE HRD","dýha, kontrola"
"Dřevo JOOLA VYZARYZ HYBRID","dřevo, rotace"
"Dřevo JOOLA VYZARYZ TRINITY","dřevo kompozitní, pocit přesnost"
"Dřevo STIGA Allround Classic","dřevo, stolní tenis"
"Dřevo STIGA Allround Classic Cybershape","prkno, stolní tenis"
"Dřevo STIGA Allround Evolution","STIGA, všestranné prkno"
"Dřevo STIGA Aura Hybrid Carbon","rychlost, kontrola"
"Dřevo STIGA Aura Hybrid Carbon Cybershape","rychlost, kontrola"
"Dřevo STIGA Carbonado 45","karbonové vrstvy, extrémní kontrola"
"Dřevo STIGA Celero Wood","STIGA Celero, technologie Diamond Touch"
"Dřevo STIGA Clipper","dřevo, rychlost"
"Dřevo STIGA Clipper CR","rychlost, údernost"
"Dřevo STIGA Clipper WRB","rychlost, údernost"
